"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","item_name"
"","","","","","html-button-response","44","280116","0.0-5.0","1237","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-button-response","45","281220","0.0-6.0","1103","
    <div style=""font-size:24px;"">
    <div style='float: center;'><img src='img/un.png' width=""320"" height=""240""></img> 
    <p>Now, you will perform a study session of the items .</p>
    <p>Each flag will appear followed by the country name in sets with a short break between sets.</p> 
    <p>Hit the NEXT button to move on to the next item.</p>    
    <p>You will practice on the whole list of items 4 times.</p>   
    </div>
    <p>Tap ""START"" to begin.</p>
    </div>
    ","0","",""
"","","","","","html-keyboard-response","46","282239","0.0-7.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","47","283498","0.0-7.0-1.0","null","img/sk.png","null","study_pic","SLOVAKIA"
"","","","","","html-button-response","48","288620","0.0-7.0-2.0","5120","<div style=""font-size:72px;"">
        <p>SLOVAKIA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","49","289134","0.0-7.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","50","290399","0.0-7.0-1.1","null","img/cf.png","null","study_pic","CENTRAL AFRICAN REPUBLIC"
"","","","","","html-button-response","51","291291","0.0-7.0-2.1","891","<div style=""font-size:72px;"">
        <p>CENTRAL AFRICAN REPUBLIC</p>
        </div>","0","",""
"","","","","","html-keyboard-response","52","291806","0.0-7.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","53","293064","0.0-7.0-1.2","null","img/li.png","null","study_pic","LIECHTENSTEIN"
"","","","","","html-button-response","54","294541","0.0-7.0-2.2","1475","<div style=""font-size:72px;"">
        <p>LIECHTENSTEIN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","55","295054","0.0-7.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","56","296322","0.0-7.0-1.3","null","img/mh.png","null","study_pic","MARSHALL ISLANDS"
"","","","","","html-button-response","57","297228","0.0-7.0-2.3","904","<div style=""font-size:72px;"">
        <p>MARSHALL ISLANDS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","58","297741","0.0-7.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","59","299013","0.0-7.0-1.4","null","img/by.png","null","study_pic","BELARUS"
"","","","","","html-button-response","60","299884","0.0-7.0-2.4","868","<div style=""font-size:72px;"">
        <p>BELARUS</p>
        </div>","0","",""
"","","","","","html-button-response","61","300604","0.0-8.0","717","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","62","301120","0.0-9.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","63","302377","0.0-9.0-1.0","null","img/jo.png","null","study_pic","JORDAN"
"","","","","","html-button-response","64","310540","0.0-9.0-2.0","8163","<div style=""font-size:72px;"">
        <p>JORDAN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","65","311053","0.0-9.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","66","312310","0.0-9.0-1.1","null","img/kz.png","null","study_pic","KAZAKHSTAN"
"","","","","","html-button-response","67","314148","0.0-9.0-2.1","1836","<div style=""font-size:72px;"">
        <p>KAZAKHSTAN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","68","314654","0.0-9.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","69","315908","0.0-9.0-1.2","null","img/ch.png","null","study_pic","SWITZERLAND"
"","","","","","html-button-response","70","316604","0.0-9.0-2.2","695","<div style=""font-size:72px;"">
        <p>SWITZERLAND</p>
        </div>","0","",""
"","","","","","html-keyboard-response","71","317114","0.0-9.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","72","318368","0.0-9.0-1.3","null","img/pk.png","null","study_pic","PAKISTAN"
